PostCount,RemovedNothing,RemovedCode,RemovedCodeAndStop,RemovedWaste
10,36356,36128,24374,15305
20,84258,78207,54287,30645
30,176210,165508,113481,63308
40,236011,215538,145843,83407
50,320153,286885,192546,107563
60,376450,338844,227145,126121
70,428875,384842,259012,145570
80,497093,470628,321937,174860
90,568979,541902,369783,199713
100,685305,651018,441018,232406
110,804976,760106,524935,267620
120,857488,808722,557093,286551
130,942833,889237,610060,315394
140,994310,939615,645899,332470
150,1041993,987083,676102,351785
160,1092868,1028300,703776,369071
170,1130124,1063424,727899,383835
180,1168862,1095718,749869,397849
190,1199944,1127646,771689,411349
200,1272215,1192643,816476,435658
210,1341823,1258129,858232,458740
220,1366223,1281296,873584,469227
230,1416812,1321947,899866,485033
240,1494306,1386965,943289,506437
250,1555081,1446824,984993,531155
260,1623719,1510581,1030033,554252
270,1688443,1571621,1071422,577283
280,1745647,1625124,1108333,596981
290,1811194,1691619,1153982,623062
300,1854971,1735396,1185690,639371
310,1923717,1799273,1228869,662682
320,1982454,1846461,1261123,682210
330,2030086,1887338,1286760,697932
340,2094653,1935855,1318848,716873
350,2129455,1969901,1341983,731364
360,2163791,2002778,1364506,745515
370,2267621,2100286,1428785,773672
380,2316494,2147053,1461987,792608
390,2384050,2210567,1504789,816616
400,2454690,2280448,1552600,841470